开间,进深,层高,北侧窗台高,北侧窗高,北侧窗墙比,南侧窗墙比,南侧窗高,南侧窗台高,南侧窗间距,CEUI,DGI,UDI
7.6,7.8,3.4,1.25,1.73,0.23,0.2,1.94,1.04,4,20.503992,19.065226,60.448528
7.7,7.8,3.4,1.25,1.72,0.23,0.2,1.82,1.13,3.71,20.718727,19.038195,60.521697
7.7,7.8,3.4,1.25,1.72,0.22,0.2,1.82,1.12,3.71,20.759745,19.025093,60.35003
7.7,7.8,3.4,1.25,1.71,0.24,0.2,1.77,1.09,3.86,20.709299,19.051245,60.782884
7.5,7.8,3.2,1.28,1.44,0.22,0.2,1.58,1.2,1.91,21.457724,18.955486,61.061244
7.7,7.8,3.4,1.25,1.71,0.23,0.2,1.82,1.14,3.86,20.72101,19.037527,60.694343
8.6,7.8,3.1,1.25,1.44,0.17,0.2,1.56,1.13,1.87,21.903231,18.629354,57.139592
7.7,7.8,3.1,1.25,1.42,0.2,0.2,1.6,1.09,4.16,21.146461,18.753822,58.575445
8.5,7.8,3.1,1.25,1.44,0.2,0.2,1.56,1.09,4.15,21.524158,18.67384,58.099001
7.5,7.8,3.4,1.25,1.72,0.23,0.2,1.82,1.13,3.83,20.6579,19.082401,61.132168
8.5,7.8,3.1,1.25,1.44,0.2,0.2,1.6,1.09,4.15,21.493212,18.67642,58.112506
7.6,7.8,3.4,1.25,1.71,0.23,0.2,1.82,1.13,3.71,20.702751,19.060362,60.960741
7.7,7.8,3.1,1.25,1.42,0.2,0.2,1.6,1.07,4.16,21.132698,18.750959,58.431693
8.5,7.8,3.1,1.23,1.44,0.2,0.2,1.6,1.09,4.15,21.488348,18.677822,57.981098
7.5,7.8,3.1,1.25,1.44,0.23,0.2,1.59,1.09,4.1,20.921221,18.823576,59.648076
8.5,7.8,3.1,1.23,1.44,0.2,0.2,1.6,1.09,4.17,21.484583,18.678028,58.01137
7.5,7.8,3.2,1.3,1.5,0.22,0.2,1.6,1.19,1.86,21.410391,18.961613,61.098552
7.5,7.8,3.1,1.25,1.41,0.22,0.2,1.6,1.07,4.19,20.938444,18.801756,59.491939
7.7,7.8,3.1,1.24,1.42,0.19,0.2,1.62,1.04,4.14,21.181261,18.732943,57.816836
7.7,7.8,3.4,1.25,1.73,0.23,0.2,1.89,1.04,4,20.541136,19.043303,60.295448
